city,years,area,rooms,price,avg_heat_per_m,created_at,updated_at,url
Vilnius,2017,51,2,129000,"10,20",2019-11-12,2019-12-03,https://www.aruodas.lt/butai-vilniuje-zirmunuose-piromonto-g-parduodamas-itin-skoningai-irengtas-2-ju-1-2813205/
Palanga,2018,34,2,97422,,2019-09-25,2019-11-28,https://www.aruodas.lt/butai-palangoje-juros-tak-naujos-statybos-butas-pilnai-irengtas-netoli-1-2788977/
Vilnius,2015,46,2,96000,"13,80",2019-12-01,2019-12-03,https://www.aruodas.lt/butai-vilniuje-bajoruose-bajoru-kel-parduodamas-stilingas-butas-su-vaizdu-i-miska-1-2822683/
Palanga,2019,25,2,65000,,2019-09-18,2019-12-02,https://www.aruodas.lt/butai-palangoje-kunigiskiu-g-tiesiai-is-statytojo-vaivorykstes-sveciu-1-2785811/
Vilnius,2018,"35,66",1,69771,"3,57",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-pilaiteje-karaliauciaus-g-naujame-name-pilaiteje-karaliauciaus-gatveje-1-2823027/
Kaunas,1963,"69,73",3,95000,,2019-11-20,2019-12-02,https://www.aruodas.lt/butai-kaune-zaliakalnyje-savanoriu-pr-istorija-alsuojanciame-zaliakalnio-rajone-1-2817571/
Šiauliai,1980,68,3,62500,,2019-11-21,2019-12-03,https://www.aruodas.lt/butai-siauliuose-dainiuose-geguziu-g-parduodamas-suremontuotas-68-kvm-triju-1-2818025/
Kaunas,1969,67,4,80000,"48,91",2018-04-24,2019-12-02,https://www.aruodas.lt/butai-kaune-zaliakalnyje-giedraiciu-g-parduodamas-4-u-kambariu-butas-su-dideliu-1-2503051/
Vilnius,2004,150,4,210000,"67,50",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-baltupiuose-didlaukio-g-parduodamas-erdvus-irengtas-4-kambariu-butas-1-2788533/
Vilnius,1958,"68,43",2,199000,"54,74",2019-11-10,2019-11-30,https://www.aruodas.lt/butai-vilniuje-senamiestyje-vokieciu-g-parduodamas-erdvus-2-kamb-butas-zymioje-1-2811889/
Vilnius,1958,"68,43",2,199000,"54,74",2019-11-10,2019-11-30,https://www.aruodas.lt/butai-vilniuje-senamiestyje-vokieciu-g-parduodamas-erdvus-2-kamb-butas-zymioje-1-2811889/
Vilnius,1940,49,1,169000,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-senamiestyje-stikliu-g-senamiescio-sirdyje-stikliu-ir-zydu-gatviu-1-2823985/
Kaunas,1971,"50,3",2,59199,"34,20",2019-11-30,2019-12-03,https://www.aruodas.lt/butai-kaune-vilijampoleje-a-stulginskio-g-dazais-kvepiantis-butas-po-pilno-remonto-1-2822175/
Vilnius,2019,"35,28",1,85000,,2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-birzelio-23-iosios-g-birzelio-namai-nauja-erdve-igyventoje-1-2823249/
Vilnius,2019,"55,35",3,138000,"13,84",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-statybininku-g-birzelio-namai-nauja-erdve-igyventoje-1-2823245/
Vilnius,2017,"68,56",3,137000,"22,62",2019-11-19,2019-12-02,https://www.aruodas.lt/butai-vilniuje-fabijoniskese-fabijoniskiu-g-parduodamas-pilnai-irengtas-gero-isplanavimo-1-2816517/
Vilnius,2019,"57,65",3,145000,"12,11",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-statybininku-g-birzelio-namai-nauja-erdve-igyventoje-1-2823231/
Vilnius,2019,"57,54",3,141700,"12,08",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-statybininku-g-birzelio-namai-nauja-erdve-igyventoje-1-2823221/
Vilnius,2019,"32,18",1,79000,"8,05",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-statybininku-g-birzelio-namai-nauja-erdve-igyventoje-1-2823185/
Vilnius,1964,"44,6",2,65500,"27,65",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-savanoriu-pr-parduodamas-suremontuotas-tvarkingassviesus-1-2823179/
Kaunas,2007,"54,5",2,98500,,2019-11-15,2019-12-03,https://www.aruodas.lt/butai-kaune-zaliakalnyje-zuvinto-g-parduodamas-2-kambariu-545-kvm-butas-1-2802255/
Vilnius,2015,62,2,232000,"28,52",2019-09-30,2019-12-02,https://www.aruodas.lt/butai-vilniuje-senamiestyje-pylimo-g-parduodamas-naujai-irengtas-butas-pylimo-1-2791635/
Kaunas,1973,64,3,74999,"38,40",2019-11-30,2019-12-01,https://www.aruodas.lt/butai-kaune-dainavoje-pramones-pr-parduodamas-3k-butas-pilnai-irengtas-1-2806515/
Vilnius,2017,43,2,114900,"13,76",2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-kauno-g-jaukiai-irengtas-2-kambariu-butas-1-2816209/
Vilnius,2017,43,2,114900,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-senamiestyje-kauno-g-jaukiai-irengtas-2-kambariu-butas-1-2823829/
Vilnius,1998,65,2,120000,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-antakalnyje-antakalnio-g-parduodamas-sviesus-ir-siltas-65-kv-m-2-1-2824179/
Trakų r. sav.,1965,"41,82",2,42000,,2019-11-29,2019-12-03,https://www.aruodas.lt/butai-trakuose-lentvario-m-lauko-g-parduodamas-2-kambariu-butas-traku-r-sav-1-2821631/
Vilnius,2018,"51,67",2,142000,,2019-11-29,2019-12-02,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-smolensko-g-parduodamas-isskirtinis-2-kambariu-butas-1-2821541/
Vilnius,1940,89,3,310000,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-senamiestyje-didzioji-g-senamiescio-sirdyje-labai-ramioje-vietoje-1-2823903/
Klaipėda,1963,43,2,56500,,2019-11-28,2019-12-03,https://www.aruodas.lt/butai-klaipedoje-centre-taikos-pr-parduodamas-tvarkingas-ir-jaukus-butas-1-2736329/
Vilnius,2017,"60,33",2,280000,"19,91",2019-11-09,2019-12-03,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-m-k-ciurlionio-g-parduodamas-santurus-ir-stilingas-isskirtinio-1-2811639/
Vilnius,2007,"67,37",2,149000,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-valakampiuose-svajoniu-g-erdvus-sviesus-jaukus-patogaus-isplanavimo-1-2811029/
Klaipėda,1968,30,1,39999,,2019-09-15,2019-12-03,https://www.aruodas.lt/butai-klaipedoje-debrecene-debreceno-g-butas-nekampinis-siltas-jaukus-mazi-1-2783815/
Vilnius,1990,19,1,16900,,2019-11-29,2019-11-29,https://www.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-pramones-g-kvieciame-jus-i-atviru-duru-vakara-12-05-1-2819251/
Klaipėda,1980,18,1,16000,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-klaipedoje-senamiestyje-bangu-g-kambarys-blokevandentiekis-ir-nuotekos-1-2823725/
Kaunas,1921,"52,28",2,169000,,2019-12-01,2019-12-03,https://www.aruodas.lt/butai-kaune-senamiestyje-v-sladkeviciaus-g-parduodami-isskirtiniai-apartamentai-kauno-1-2816439/
Panevėžys,1985,33,1,22500,"25,41",2019-11-14,2019-12-02,https://www.aruodas.lt/butai-panevezyje-kniaudiskyje-molainiu-g-dalinai-renovuotame-name-namas-dazytas-1-2814385/
Klaipėda,1977,64,3,69000,,2019-12-02,2019-12-03,https://www.aruodas.lt/butai-klaipedoje-naujakiemyje-naujakiemio-g-renovuotame-name-naujakiemio-g-parduodamas-1-2822915/
Vilnius,2017,40,2,143000,,2019-12-02,2019-12-03,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-j-jasinskio-g-parduodamas-2-k-prestizines-klases-butas-1-2823243/
Vilnius,1999,"110,61",3,129000,,2019-12-02,2019-12-03,https://www.aruodas.lt/butai-vilniuje-pilaiteje-m-pretorijaus-g-parduodamas-3-kambariu-butas-su-kiemeliu-1-2823161/
Kaunas,1988,45,2,65500,,2019-12-02,2019-12-03,https://www.aruodas.lt/butai-kaune-petrasiunuose-r-kalantos-g-parduodamas-stilingai-suremontuotas-2-kamb-1-2823313/
Vilnius,1970,"54,6",2,105000,"43,13",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-zveryne-latviu-g-parduodamas-butas-zveryne-latviu-g-apie-1-2823305/
Vilnius,1973,46,2,70000,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-karoliniskese-loretos-asanaviciutes-g-parduodamas-jaukus-ir-siltas-2-kambariu-1-2823931/
Vilnius,2011,44,2,75000,,2019-11-07,2019-12-03,https://www.aruodas.lt/butai-vilniuje-zirmunuose-kareiviu-g-strategiskai-patogioje-vietoje-parduodamas-1-2810963/
Vilnius,2019,"45,55",2,119000,"11,39",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-statybininku-g-birzelio-namai-nauja-erdve-igyventoje-1-2823167/
Kaunas,1887,117,4,119000,,2019-11-25,2019-12-03,https://www.aruodas.lt/butai-kaune-vilijampoleje-radvilu-dvaro-g-parduodamas-jaukus-labai-tvarkingas-erdvus-1-2819575/
Vilnius,2014,"67,2",3,152000,"23,52",2019-11-27,2019-12-02,https://www.aruodas.lt/butai-vilniuje-bajoruose-fiziku-g-parduodamas-labai-sviesus-ir-erdvus-672-m-1-2820715/
Vilnius,2014,"67,2",3,152000,"23,52",2019-11-27,2019-12-02,https://www.aruodas.lt/butai-vilniuje-visoriuose-fiziku-g-parduodamas-labai-sviesus-ir-erdvus-672-m-1-2820719/
Vilnius,2018,29,1,52400,"14,79",2019-11-23,2019-12-03,https://www.aruodas.lt/butai-vilniuje-naujojoje-vilnioje-geniu-g-parduodamas-naujos-statybos-1-kambario-1-2790605/
Kaunas,1972,"58,11",3,65000,"40,10",2019-11-19,2019-12-02,https://www.aruodas.lt/butai-kaune-fredoje-piliakalnio-g-1-2816781/
Vilnius,2004,71,2,195000,,2019-11-28,2019-12-02,https://www.aruodas.lt/butai-vilniuje-snipiskese-linkmenu-g-jaukus-stilingi-kokybiskai-irengti-1-2821167/
