city,years,area,rooms,price,url
Giraitės k.,2018,"45,09",2,59900,https://www.skelbiu.lt/skelbimai/pilnai-irengtas-butas-giraiteje-45075397.html
Marijampolės m.,1969,29,1,16900,https://www.skelbiu.lt/skelbimai/parduodamas-butas-miesto-centre-45073381.html
Klaipėdos m.,2015,79,3,103500,https://www.skelbiu.lt/skelbimai/parduoda-savininkai-100proc-baigtumas-41934637.html
Mažeikių m.,1973,50,2,22000,https://www.skelbiu.lt/skelbimai/tinka-komercinei-veiklai-43686219.html
Kiemelių k.,1960,41,2,6500,https://www.skelbiu.lt/skelbimai/parduodamas-butas-be-patogumu-40232863.html
Telšių m.,1968,46,2,18000,https://www.skelbiu.lt/skelbimai/2-kambariu-butas-su-autonominiu-sildymu-45071089.html
Telšių m.,1983,33,1,24000,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-telsiuose-luokes-g-42167663.html
Lentvario m.,1967,158,5,160000,https://www.skelbiu.lt/skelbimai/parduodamas-butas-45066105.html
Jurbarkų k.,1982,92,3,34500,https://www.skelbiu.lt/skelbimai/parduodamas-3-kamb-butas-45067403.html
Plungės m.,1997,"61,03",3,43000,https://www.skelbiu.lt/skelbimai/savininkas-parduoda-3-kambariu-buta-45063517.html
Kėdainių m.,1977,50,2,29900,https://www.skelbiu.lt/skelbimai/parduodu-tvarkinga-2-u-k-buta-40168175.html
Vilniaus m.,1989,26,1,12000,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-41876399.html
Vilniaus m.,1955,34,1,38000,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-vilniuje-baraviku-g-41521065.html
Pakruojo m.,1974,"78,31",4,14500,https://www.skelbiu.lt/skelbimai/parduodamas-4-iu-kambariu-butas-45062115.html
Mažeikių m.,1983,"50,45",2,29000,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-kambariu-butas-45061805.html
Kybartų m.,1962,47,3,9000,https://www.skelbiu.lt/skelbimai/sviesus-3-k-butas-su-sodo-sklypu-41459629.html
Pasvalio m.,1984,49,2,32000,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-kambariu-butas-43692837.html
Klaipėdos m.,1968,45,2,44000,https://www.skelbiu.lt/skelbimai/pigiai-2-u-kambariu-butas-kauno-g-silutes-pl-43628495.html
Palangos m.,1986,33,1,32800,https://www.skelbiu.lt/skelbimai/be-tarpininku-parduodu-40374565.html
Klaipėdos m.,1997,64,3,63000,https://www.skelbiu.lt/skelbimai/3-u-kambariu-su-reguliojimu-sildymu-naujakiemio-41744217.html
