city,years,area,price,avg_heat_per_m,url
Klaipėdos m.,1978,51,69500,,https://www.skelbiu.lt/skelbimai/butai-44133075.html
Mažeikių m.,1967,33,17800,,https://www.skelbiu.lt/skelbimai/skubiai-parduodu-1k-buta-3a-43508739.html
Ruklos mstl.,1987,85,18500,,https://www.skelbiu.lt/skelbimai/tvarkingas-erdvus-jaukus-4-kamb-butas-44129101.html
Kauno m.,1981,"61,84",60000,,https://www.skelbiu.lt/skelbimai/parduodamas-triju-kambariu-butas-44127193.html
Kėdainių m.,1988,"62,26",32900,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44126723.html
Šiaulių m.,1990,33,28000,,https://www.skelbiu.lt/skelbimai/parduodamas-butas-44123705.html
Plungės m.,1991,77,36000,,https://www.skelbiu.lt/skelbimai/parduodu-arba-keiciu-3-ju-kambariu-buta-42760405.html
Alytaus m.,1980,68,46000,,https://www.skelbiu.lt/skelbimai/4-kambariu-butas-jaunimo-g-44120319.html
Utenos m.,1978,49,43000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-44119899.html
Rokiškio m.,1989,50,25900,,https://www.skelbiu.lt/skelbimai/parduodamas-tvarkingas-butas-44055929.html
Gargždų m.,1994,"43,30",38000,,https://www.skelbiu.lt/skelbimai/gargzduose-1-su-holu-butas-44119725.html
Kelmės m.,1974,"64,95",45000,,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-44119405.html
Telšių m.,1901,"38,83",20000,,https://www.skelbiu.lt/skelbimai/parduodamas-2k-butas-telsiuose-su-3a-zemes-sklypu-44117811.html
Šiaulių m.,1991,"48,27",49500,,https://www.skelbiu.lt/skelbimai/2-kambariu-butas-su-baldais-ir-buitine-technika-43773711.html
Alytaus m.,1968,56,25000,,https://www.skelbiu.lt/skelbimai/butas-alytuje-42669461.html
Kauno m.,1965,30,40500,,https://www.skelbiu.lt/skelbimai/1-kambario-butas-dainavos-rajone-44116291.html
Panevėžio m.,1974,"35,94",25000,,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-44115695.html
Mažeikių m.,1984,64,49900,,https://www.skelbiu.lt/skelbimai/parduodamas-modernus-3-kambariu-butas-44114053.html
Tauragės m.,1970,"51,05",40000,,https://www.skelbiu.lt/skelbimai/2-ju-kambariu-butas-44114669.html
Kauno m.,1980,57,58000,,https://www.skelbiu.lt/skelbimai/labai-tvarkingas-3-kambariu-butas-41982819.html
Prienų m.,1980,65,42000,,https://www.skelbiu.lt/skelbimai/jaukus-butas-misko-apsuptyje-salia-nemuno-37918517.html
Naujosios Akmenės m.,1986,"36,54",11900,,https://www.skelbiu.lt/skelbimai/jaukus-1-k-butas-naujojoje-akmeneje-44111813.html
